"","","Rank","Rank","University Name","Entry Standards 
                             
                             
                                Entry Standards 
                                The average UCAS tariff score of new students entering the University. These tables use the old UCAS tariff. 
                                Read more","Student Satisfaction 
                             
                             
                                Student Satisfaction 
                                A guide to how satisfied students are with the quality of teaching they receive. 
                                    Maximum score: 5.00 
                                Read more","Research Quality 
                             
                             
                                Research Quality 
                                A measure of the quality of the research undertaken in the University. 
                                    Maximum score: 4.00 
                                Read more","Research Intensity 
                             
                             
                                Research Intensity 
                                A measure of the proportion of staff involved in high-quality research in the University. 
                                    Maximum score: 1.00 
                                Read more","Graduate Prospects 
                             
                             
                                Graduate Prospects 
                                A guide to the employability of graduates on completion of their courses at the University. 
                                    Maximum score: 100.0 
                                Read more","Student-Staff Ratio 
                             
                             
                                Student-Staff Ratio 
                                The average staffing levels at the University. 
                                Read more","Academic Services Spend 
                             
                             
                                Academic Services Spend 
                                A guide to how much the University spends on supporting services such as libraries and IT. 
                                Read more","Facilities Spend 
                             
                             
                                Facilities Spend 
                                A guide to how much the University spends on supporting facilities such as the careers service, health and counselling services and sport facilities. 
                                Read more","Good Honours 
                             
                             
                                Good Honours 
                                The percentage of graduates achieving a first or upper second class honours degree – the class of degree achieved can impact a graduate’s employment prospects. 
                                    Maximum score: 100.0 
                                Read more","Degree Completion 
                             
                             
                                Degree Completion 
                                The proportion of students expected to successfully complete their studies and gain a degree from the University. 
                                    Maximum score: 100.0 
                                Read more","Overall Score 
                             
                             
                                Overall Score 
                                The total score calculated by our independent and trusted methodology, comprising entry standards, student satisfaction, research assessment (quality and intensity), graduate prospects, student–staff ratio, academic services spend, facilities spend, good honours, and degree completion. 
                                    Maximum score: 1000 
                                Read more","Next Steps"
"135","","67th","5","West of England, Bristol","323","4.03","2.70","0.29","70.4","18.5","1,263","806","73.3","83.0","614","Profile
                                    Courses"
"136","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"137","","68th","5","Hull","335","4.05","2.70","0.56","66.5","16.2","1,400","551","70.4","84.0","606","Profile
                                    Courses"
"138","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"139","","69th","3","Roehampton","275","4.02","2.83","0.67","60.0","14.9","1,814","560","70.3","78.7","604","Profile
                                    Courses"
"140","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"141","","70th","4","Ulster","307","4.18","2.91","0.84","62.3","17.1","1,195","531","65.9","81.1","600","Profile
                                    Courses"
"142","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"143","","71st","11","Edge Hill","327","4.16","2.22","0.27","63.1","14.8","1,378","524","69.8","84.7","599","Profile
                                    Courses"
"144","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"145","","72nd","7","Cardiff Metropolitan","315","4.03","3.00","0.09","59.0","17.9","1,246","711","67.5","82.3","598","Profile
                                    Courses"
"146","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
